VocabularyId;Ordinal;Description
2;1;همانطوریکه می بینید از این ترکیب معمولاً به صورت ,ranging from … to … به جای عبارت "شاملِ" استفاده می شود.
2;2;همانطوریکه در مثال اول می بینید معمولاً در نوشته ها به جای کلمه have (داشتن) از کلمه رسمی تر Possess استفاده می کنیم. 
5;1;همانطوریکه در مثال اول می بینید هرگاه از ترکیب not only… but also… برای جمله های کامل (هردو طرف باید کامل باشند) استفاده می کنیم، جمله اول باید سئوالی (Inversion) شود.
5;2;ترکیب fast-changing society/world را در نوشته های خود می توانید استفاده کنید. 
6;1;در نوشته های رسمی به جای تعریف کننده ای مثل a lot of می توانید از an array of برای اسامی قابل شمارش استفاده کنید. 
7;1;Tertiary education: education at a university, college etc. as opposed to at a school or high school. تحصیلات دانشگاهی Higher education: education at a university or college, especially to degree level. تحصیلات دانشگاهی Further education: education for people who have left school, that is not provided by a university. دیدن دوره های تکمیلی خارج از دانشگاه 
7;2;همانطوریکه می بینید فعلی که برای education استفاده می شود، receive است. 
8;1; receive wide currency یعنی رواج زیادی یافتن
8;2; از عبارت Qualification Seeker می توانید برای اشاره به کسانی که دنبال ادامه تحصیل در مدراج بالاتر هستند استفاده کنید. 
9;1;proceed یعنی دنبال شدن یا ادامه یافتن پس از شروع به کار. مثلاً وقتی می گوییم: work is proceeding according to our plans یعنی کارها براساس برنامه هایمان ادامه دارد.
13;1;برای مناسب بودن می توانید از لغت suit استفاده کنید. 
14;1;از صفت oriented میتوانید بعد از هر اسمی استفاده کنید. مثلاً وقتی می گویید اقتصاد یک کشور export-oriented است یعنی مبتنی بر صادرات است.
15;1;توجه داشته باشید که لغت academic صفت نیز می تواند باشد و به معنی دانشگاهی خواهد بود. مثلا: academic qualifications یعنی مدارک دانشگاهی.
15;2;in exchange for something یعنی به جای چیزی یا در عوض چیزی. مثلاً: I've offered to paint the kitchen in exchange for a week's accommodation به من پیشنهاد دادند تا آشپزخانه را در عوض یک هفته جا، نقاشی کنم. .
16;1;لغت marketable یعنی چیزی یا کسی که بیشتر از چیزها یا افراد دیگر محبوبیت داشته باشد. مثلاً marketable products یعنی محصولاتی که در بازار محبوبیت بیشتری دارند. 
16;2;سعی کنید قبل از صفت های برتر خود از far استفاده کنید تا برتری آنها را بیشتر نشان دهد. این Modifier به معنی "خیلی" می باشد و بر برتری تاکید دارد.  
18;1;به جای "نداشتن" می توانید از فعل lack استفاده کنید که بسیار رسمی تر است. 
22;1;Job: کاری که شما برای گذران زندگی انجام می دهید. Occupation: معادل Job است اما فقط در نوشته های رسمی از آن استفاده می شود. Career: از این کلمه به معنی زندگی کاری استفاده می شود. Trade: نوعی کار که در آن کارها با دست انجام می شود. مثلاً نجاری و ... . Profession: کارهایی مثل آموزش، پزشکی و یا قانون که در آن نیاز به سطح بالای یادگیری یا آموزش است.
24;1;schooling به معنی آموزش در مدرسه است. به عنوان مثال Compulsory schooling یعنی شرکت اجباری در مدرسه. 
25;1; State School در مقابل Private school و به معنی مدرسه دولتی است.
25;2; Staff همیشه به صورت مفرد بکار می رود و به معنی گروه کارکنان است. از به کار بردن این کلمه به عنوان کارمند پرهیز کنید. برای کاربرد مفرد می توانید از کلمه ای مثل employee استفاده نمایید. 
25;3; to be associated with یعنی “مربوط بودن” و یا “برخوردار بودن”. 
25;4; کلمه quality می تواند صفت نیز باشد. در این حالت، به معنی "با کیفیت" خواهد بود. 
27;1;از کلمه well-being می توانید به جای "رفاه و راحتی" استفاده کنید. مثلاً well-being of our customers یعنی "رفاه مشتریان ما" و یا a feeling of well-being یعنی "حس رفاه"
27;2;ترکیب to be intended to به معنی "درنظر گرفته شدن" می باشد. 
29;1;متضاد این ترکیب، bad-mannered است. 
33;1; as well as به معنی "درکنارِ ..." بوده و پس از آن فقط می توانید یک اسم بیاورید. یادتان باشد از آن به معنی همچنین استفاده نکنید. زیرا دیده شده است که بعضی زبان آموزان پس از آن جمله کامل استفاده می کنند.
35;1;از fail to می توانید به جای cannot و از failed to به جای could not در نوشته های خود استفاده کنید. 
36;1;  از کلمه youth در نوشته های رسمی به معنی "دوره جوانی" استفاده کنید. توجه داشته باشید که از این کلمه نمی توانید به جای young people استفاده کنید. تنها در ترکیب the youth of می توانید از این کلمه به معنی جوانان استفاده کنید. مثلا: The youth of today are the pensioners of tomorrow
